date,pull_request,model_leg,model_id,severity_reported,finding_slug,disposition,unique_confirmed,led_to_change,notes,effort
2026-08-06,#6,orchestrator,claude-fable-5,MEDIUM,device-star-free-form-strings,confirmed,no,yes,"c3d.device.* called free-form strings; memory numeric + two boolean flags contradict docs' own example. 4-leg convergence (orchestrator, kiro, codex, sonnet)",high
2026-08-06,#6,kiro,gpt-5.6-sol,MEDIUM,device-star-free-form-strings,confirmed,no,yes,same finding; gave concrete textualSessionProp-on-memory failure scenario,high
2026-08-06,#6,codex,gpt-5.6-sol,HIGH,device-star-free-form-strings,confirmed,no,yes,same finding,high
2026-08-06,#6,sonnet,claude-sonnet-5,HIGH,device-star-free-form-strings,confirmed,no,yes,same finding; also surfaced the two boolean flags and suggested the fix wording adopted,high
2026-08-06,#6,gemini,gemini-3.1-pro-preview-customtools,HIGH,stepresults-unconditionally-drops-dev-scope,confirmed,no,yes,"plugin SKILL.md said '404 unconditionally' while endpoints.md scoped to dev; 3-leg convergence (gemini, kiro, sonnet). Adjudicated MEDIUM",n/a
2026-08-06,#6,kiro,gpt-5.6-sol,LOW,stepresults-unconditionally-drops-dev-scope,confirmed,no,yes,same finding,high
2026-08-06,#6,sonnet,claude-sonnet-5,MEDIUM,stepresults-unconditionally-drops-dev-scope,confirmed,no,yes,same finding; noted it is the exact overreach pattern the brief called out,high
2026-08-06,#6,codex,gpt-5.6-sol,HIGH,quoted-projectid-request-templates,confirmed,yes,yes,"SOLE-FINDER. Templates showed entityFilters.projectId as quoted ""<int>"" contradicting the new numeric rule. Live-verified during adjudication: string 400s on paginatedListQueries too. Top-level projectId on singleProjectSessionQueries accepts both (live-verified) so those templates correctly untouched",high
2026-08-06,#6,kiro,gpt-5.6-sol,MEDIUM,org-endpoint-nonexistence-overreach,partial,yes,yes,SOLE-FINDER. 'No org-level aggregate endpoint exists' claims more than the audit proved; reworded to 'is documented'. Direction of the guidance unchanged,high
2026-08-06,#6,kiro,gpt-5.6-sol,MEDIUM,full-vocabulary-overpromise,confirmed,yes,yes,SOLE-FINDER. endpoints.md promised the full derived-device vocabulary in slicer_fields.yaml; only category and runtime_host enums are complete there. Pointer reworded,high
2026-08-06,#6,codex,gpt-5.6-sol,MEDIUM,both-bounds-rule-invented-gte-undercount,partial,yes,yes,SOLE-FINDER. 'Always set both bounds' could make an agent invent a late gte and silently undercount; added make-bounds-wide clarification. 502 evidence itself stands,high
2026-08-06,#6,kiro,gpt-5.6-sol,MEDIUM,fps-score-historical-coverage-unproven,partial,yes,yes,SOLE-FINDER. Substituting fps_score not proven for sessions predating its rollout; hedge added. Recommendation direction unchanged,high
2026-08-06,#6,sonnet,claude-sonnet-5,LOW,stale-stepresults-returns-line,confirmed,yes,yes,SOLE-FINDER. '// Returns:' comment above the new 404 warning still read as authoritative; annotated,high
2026-08-06,#6,orchestrator,claude-fable-5,LOW,roomsize-in-legacynames,confirmed,yes,yes,SOLE-FINDER. Listing c3d.roomsize as a legacyName implies old sessions carry it; verified fact is it matches nothing. Moved to description-only. Gemini had explicitly praised the original placement,high
2026-08-06,#6,orchestrator,claude-fable-5,MEDIUM,empty-sessionfilters-claim-unverified,refuted,no,no,"Self-finding self-killed: {""sessionFilters"": []} was asserted without live evidence; probe on dev 2026-08-06 returned 200 with counts (bare array still 400). Doc claim stands unchanged",high
2026-08-06,#5,gemini,gemini-3.1-pro-preview-customtools,HIGH,editor-vs-platform-task-category-overlap,confirmed,no,yes,"3-leg convergence (gemini, sonnet, orchestrator; independent — formed separately). Adjudicated MEDIUM: corrective subsection sits immediately below, but bullet-1 literal match can short-circuit the ask-which-route gate. Fixed post-review in 9b20d72 (user-directed 2026-08-07)",n/a
2026-08-06,#5,sonnet,claude-sonnet-5,MEDIUM,editor-vs-platform-task-category-overlap,confirmed,no,yes,"same finding; sharpest analysis — base branch had no ask-gate to bypass, the PR itself introduces the overlap. Fixed post-review in 9b20d72 (user-directed 2026-08-07)",UNRECORDED
2026-08-06,#5,orchestrator,claude-fable-5,MEDIUM,editor-vs-platform-task-category-overlap,confirmed,no,yes,"same finding, formed during own leg before reading gemini/sonnet output. Fixed post-review in 9b20d72 (user-directed 2026-08-07)",UNRECORDED
2026-08-06,#5,kiro,gpt-5.6-sol,HIGH,rule2-precedence-overrides-technical-routing,confirmed,no,yes,"Adjudicated MEDIUM. Correlated with codex (same model, different harness) so convergence is not independent evidence. Confirmed core: rule 2 has no technical-feasibility escape hatch; scenario requires a project doc mislabeling a platform task. Fixed post-review in 9b20d72 (user-directed 2026-08-07)",high
2026-08-06,#5,codex,gpt-5.6-sol,HIGH,rule2-precedence-overrides-technical-routing,confirmed,no,yes,"same finding, runtime-trigger-refusal scenario; first cycle with codex effort PINNED high (rollout-verified). Fixed post-review in 9b20d72 (user-directed 2026-08-07)",high
2026-08-06,#5,gemini,gemini-3.1-pro-preview-customtools,HIGH,exact-parity-pitch-vs-per-project-ids,partial,yes,no,SOLE-FINDER (partial). Not a contradiction — SKILL.md discloses the verbatim-copy caveat in the same section; real residue is unity_sdk_reference.md constraint enumeration omitting per-project IDs beside its parity pitch. Adjudicated LOW,n/a
2026-08-06,#5,orchestrator,claude-fable-5,MEDIUM,truncates-silently-false-for-mcp-route,confirmed,yes,yes,"SOLE-FINDER. MCP client raises ObjectiveValidationError for >32-char names (objective_models.py origin/main) — rejects, never truncates; no authoritative source documents silent truncation on any route, yet the sentence claims it as a property of the platform applying to both routes. Fixed post-review in 9b20d72 (user-directed 2026-08-07)",UNRECORDED
2026-08-06,#5,orchestrator,claude-fable-5,MEDIUM,field-notes-stale-dashboard-only-questions,confirmed,yes,yes,"SOLE-FINDER. field_notes.md still says questions are configured on the dashboard — the exact one-route phrasing the PR corrected in data_strategy.md, which links directly to this field note. Needed repo access beyond the 5-file diff. Fixed post-review in 9b20d72 (user-directed 2026-08-07)",UNRECORDED
2026-08-06,#5,orchestrator,claude-fable-5,LOW,delete-objective-permanence-unflagged,confirmed,yes,no,SOLE-FINDER. delete_objective is a permanent cascade (registry: not recoverable) yet absent from the effects-to-flag list; mitigated by the dry-run preview,UNRECORDED
